Gender,Grade,Age,School,Type,Goal,Grades,Sports,Looks,Money
boy,5,11,Elm,Rural,Sports,1,2,4,3
boy,5,10,Elm,Rural,Popular,2,1,4,3
girl,5,11,Elm,Rural,Popular,4,3,1,2
girl,5,11,Elm,Rural,Popular,2,3,4,1
girl,5,10,Elm,Rural,Popular,4,2,1,3
girl,5,11,Elm,Rural,Popular,4,2,1,3
girl,5,10,Elm,Rural,Popular,3,4,1,2
girl,5,10,Elm,Rural,Grades,3,4,2,1
girl,5,10,Elm,Rural,Sports,3,2,1,4
girl,5,10,Elm,Rural,Sports,4,3,2,1
girl,5,11,Elm,Rural,Sports,2,3,1,4
girl,4,10,Elm,Rural,Grades,2,3,4,1
boy,4,9,Elm,Rural,Popular,2,3,4,1
boy,4,9,Elm,Rural,Popular,4,2,3,1
boy,4,9,Elm,Rural,Popular,4,3,2,1
girl,4,9,Elm,Rural,Grades,1,3,2,4
girl,4,9,Elm,Rural,Sports,3,1,2,4
girl,4,9,Elm,Rural,Popular,3,4,1,2
girl,4,9,Elm,Rural,Grades,2,3,1,4
girl,4,9,Elm,Rural,Sports,3,2,1,4
girl,4,9,Elm,Rural,Popular,4,3,1,2
girl,4,9,Brentwood Elementary,Suburban,Grades,1,4,2,3
girl,4,9,Brentwood Elementary,Suburban,Popular,4,2,1,3
girl,4,9,Brentwood Elementary,Suburban,Grades,4,3,2,1
girl,4,7,Brentwood Elementary,Suburban,Grades,1,2,3,4
girl,4,9,Brentwood Elementary,Suburban,Popular,2,3,1,4
girl,4,10,Brentwood Elementary,Suburban,Popular,2,3,1,4
girl,4,9,Brentwood Elementary,Suburban,Grades,4,2,1,3
girl,4,10,Brentwood Elementary,Suburban,Popular,2,3,4,1
boy,4,10,Brentwood Elementary,Suburban,Grades,1,2,4,3
boy,4,10,Brentwood Elementary,Suburban,Grades,2,4,3,1
boy,4,9,Brentwood Elementary,Suburban,Grades,1,2,4,3
boy,4,9,Brentwood Elementary,Suburban,Grades,3,1,2,4
boy,4,10,Brentwood Elementary,Suburban,Grades,2,1,3,4
boy,4,11,Brentwood Elementary,Suburban,Sports,3,1,2,4
boy,4,9,Brentwood Elementary,Suburban,Sports,4,3,2,1
boy,4,10,Brentwood Elementary,Suburban,Popular,3,2,1,4
boy,4,10,Brentwood Elementary,Suburban,Sports,3,1,4,2
boy,4,10,Brentwood Elementary,Suburban,Grades,2,3,1,4
boy,4,9,Brentwood Elementary,Suburban,Sports,4,1,3,2
boy,4,9,Brentwood Elementary,Suburban,Grades,2,1,3,4
boy,4,10,Brentwood Elementary,Suburban,Grades,2,1,4,3
boy,4,9,Brentwood Elementary,Suburban,Popular,3,2,4,1
boy,5,11,Brentwood Elementary,Suburban,Grades,2,1,3,4
boy,5,11,Brentwood Elementary,Suburban,Popular,2,1,4,3
boy,5,11,Brentwood Elementary,Suburban,Grades,4,1,2,3
boy,5,11,Brentwood Elementary,Suburban,Popular,4,3,1,2
boy,5,11,Brentwood Elementary,Suburban,Sports,4,2,1,3
boy,5,11,Brentwood Elementary,Suburban,Grades,2,1,3,4
boy,5,11,Brentwood Elementary,Suburban,Popular,3,2,1,4
boy,5,10,Brentwood Elementary,Suburban,Grades,2,1,3,4
boy,5,11,Brentwood Elementary,Suburban,Sports,4,1,2,3
boy,5,11,Brentwood Elementary,Suburban,Sports,3,1,2,4
boy,5,10,Brentwood Elementary,Suburban,Popular,3,2,1,4
boy,5,10,Brentwood Elementary,Suburban,Sports,4,1,3,2
boy,5,10,Brentwood Elementary,Suburban,Sports,4,1,3,2
boy,5,11,Brentwood Elementary,Suburban,Grades,2,1,3,4
boy,5,11,Brentwood Elementary,Suburban,Grades,1,2,4,3
boy,5,10,Brentwood Elementary,Suburban,Grades,2,3,1,4
boy,5,11,Brentwood Elementary,Suburban,Grades,2,1,3,4
boy,5,10,Brentwood Elementary,Suburban,Grades,2,1,3,4
boy,5,10,Brentwood Elementary,Suburban,Popular,4,1,2,3
boy,5,11,Brentwood Elementary,Suburban,Grades,3,1,2,4
boy,5,10,Brentwood Elementary,Suburban,Grades,3,4,1,2
boy,5,10,Brentwood Elementary,Suburban,Grades,2,1,3,4
boy,5,10,Brentwood Elementary,Suburban,Grades,2,1,4,3
boy,5,10,Brentwood Elementary,Suburban,Grades,3,1,2,4
boy,5,11,Brentwood Elementary,Suburban,Popular,4,2,1,3
boy,5,10,Brentwood Elementary,Suburban,Grades,1,3,2,4
boy,5,10,Brentwood Elementary,Suburban,Grades,2,1,4,3
boy,5,10,Brentwood Elementary,Suburban,Popular,4,2,1,3
girl,5,9,Brentwood Elementary,Suburban,Popular,2,3,1,4
girl,5,11,Brentwood Elementary,Suburban,Grades,3,2,1,4
